-0.143,-62.824,10.104,0.200,0.728,0.330,-0.566,0.938
-99.599,-32.030,-1.147,0.493,-0.738,-0.459,0.046,0.772
22.943,29.618,-0.992,0.522,0.730,0.381,-0.221,0.853
21.029,13.497,-0.616,-0.529,-0.514,-0.623,0.262,0.932
-32.308,-34.061,-1.354,0.473,0.777,0.317,-0.268,0.572
-77.987,-20.233,3.595,-0.691,-0.077,-0.476,0.539,0.977
104.798,31.336,-2.161,-0.106,-0.656,0.742,-0.083,0.948
29.713,-88.649,8.330,0.225,-0.348,-0.641,0.646,0.747
26.607,18.963,-1.359,0.633,0.382,0.249,-0.626,0.740
-36.028,-3.914,-2.246,0.796,-0.322,0.216,-0.465,0.736
-80.676,-8.833,2.998,0.968,0.090,0.208,-0.104,0.933
80.558,-61.902,-0.987,0.311,-0.352,0.511,0.720,0.854
64.430,-46.132,-0.377,0.470,0.276,-0.828,-0.128,0.740
69.163,-37.300,0.655,0.126,-0.816,-0.561,-0.059,0.876
73.274,-29.210,1.418,-0.406,0.088,0.795,0.443,0.657
37.975,-7.518,-2.959,-0.338,-0.700,-0.500,-0.381,0.752
100.652,1.348,-1.911,0.450,0.668,-0.588,0.069,0.828
51.828,79.382,-0.019,-0.604,0.308,-0.729,0.093,0.856
71.397,32.889,-0.807,-0.424,-0.045,-0.865,0.263,0.796
-100.798,-45.739,-1.280,0.223,-0.561,-0.206,0.770,0.718
46.337,-83.949,5.509,0.864,-0.307,-0.380,0.124,0.720
-10.148,-7.781,-1.320,-0.631,-0.606,0.435,0.212,0.696
-89.988,-40.810,0.638,0.662,-0.672,-0.290,0.161,0.723
107.834,-29.175,-2.439,0.670,0.190,0.662,0.277,0.680
86.048,-50.608,-1.432,0.484,-0.637,0.530,0.281,0.764
38.954,-25.597,0.595,0.646,0.629,-0.386,0.195,0.749
-94.126,-24.566,0.101,0.659,0.073,0.608,0.437,0.807
52.654,-26.975,2.249,0.404,-0.341,-0.491,0.692,0.685
-98.856,-9.100,-0.709,0.602,0.020,0.377,-0.704,0.896
70.082,25.252,-1.196,0.365,-0.927,0.028,0.078,0.629
-93.295,-60.502,-0.306,0.193,0.488,0.739,0.423,0.737
-14.378,-5.595,-1.900,0.166,-0.445,-0.691,0.545,0.776
72.686,-25.942,1.785,0.056,-0.977,-0.138,-0.155,0.842
